,name,description,recommendation_mark,sector.tr,market,sector,logoid,update_mode,type,typespecs,gross_margin_ttm,operating_margin_ttm,pre_tax_margin_ttm,net_margin_ttm,free_cash_flow_margin_ttm,return_on_assets_fq,return_on_equity_fq,return_on_invested_capital_fq,research_and_dev_ratio_ttm,sell_gen_admin_exp_other_ratio_ttm,close,pricescale,minmov,fractional,minmove2,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.All,Volatility.W,Volatility.M,market_cap_basic,fundamental_currency_code,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,dps_common_stock_prim_issue_fy,dps_common_stock_prim_issue_fq,dividends_yield_current,dividends_yield,dividend_payout_ratio_ttm,dps_common_stock_prim_issue_yoy_growth_fy,continuous_dividend_payout,continuous_dividend_growth,total_revenue_ttm,total_revenue_yoy_growth_ttm,gross_profit_ttm,oper_income_ttm,net_income_ttm,ebitda_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,total_assets_fq,total_current_assets_fq,cash_n_short_term_invest_fq,total_liabilities_fq,total_debt_fq,net_debt_fq,total_equity_fq,current_ratio_fq,quick_ratio_fq,debt_to_equity_fq,cash_n_short_term_invest_to_total_debt_fq,cash_f_operating_activities_ttm,cash_f_investing_activities_ttm,cash_f_financing_activities_ttm,free_cash_flow_ttm,capital_expenditures_ttm,Recommend.All,Recommend.MA,Recommend.Other,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,MACD.macd,MACD.signal,volume,relative_volume_10d_calc
0,AALR,"GENERAL COMPANY FOR LAND RECLAMATION,DEVELOPMENT & RECONSTRU",,Finance,egypt,Finance,general-company-for-land-reclamationdevelopment-and-reconstru,delayed_streaming_900,stock,['common'],,,,,,,,,,,40.68,1000,1,false,0,EGP,2.21105784,4.01431593,-11.85265821,-20.04717138,47.44472635,-11.66123587,51.39560285,239.5659432,13,4.62956627,11.99165038,264826811,EGP,56.46153941,,,,,,,,,,,,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,-0.17878788,-0.26666667,-0.09090909,47.27944789,-2.209999,-3.71973557,-13.65876181,28.3174581,30.46137566,-1.38170573,-1.72368263,3776,0.5248016
1,ABUK,ABOU KIR FERTILIZERS,2,Process Industries,egypt,Process Industries,abou-kir-fertilizers,delayed_streaming_900,stock,['common'],54.46441543,49.52664408,82.85467674,54.9319953,45.26622048,37.00979158,65.02243941,65.02243941,,5.69802921,71.5,1000,1,false,0,EGP,1.77935943,16.2601626,2.14285714,-13.01702846,5.14705882,-14.88095238,59.56259407,173.8414296,6862.647887,4.95534613,6.93085082,90224114868,EGP,62.16829157,7.78536352,0.24247766,4.20189022,4.47482737,9.26239259,9.44778889,6.20434658,63747580168,3.02165929,6.1010782,6.03189363,7,,9.79021,9.79021,76.22034212,75,8,3,21096878949,14.23591702,11490291793,10448576150,11588936552,10568419150,9.1839,31.54622932,37882765692,29696364914,26476534700,17720178409,0,-26476534700,20162587283,1.70851553,1.57978779,0,,9740907986,-1076086483,-3785627160,9549759740,-191148246,0.24545455,0.4,0.09090909,54.99852105,2.510002,-1.71676532,172.692099,82.10825287,70.43330781,-1.52864266,-2.85487789,759952,0.88552255
2,ACAMD,ARAB CO. FOR ASSET MANAGEMENT AND DEVELOPMENT,,Finance,egypt,Finance,arab-co-for-asset-management-and-development,delayed_streaming_900,stock,['common'],93.05110019,50.39059457,48.329968,39.79986301,32.92992955,6.04074127,7.76487554,7.68798793,,,0.956,1000,1,false,0,EGP,0.63157895,17.58917589,-6.54936461,-6.09037328,56.72131148,-3.82293763,70.10676157,74.45255474,769.0909091,3.54814785,6.66126865,1265819815,EGP,71.0196681,119.5,,47.25041945,9.39465409,133.9836073,144.394002,1063.615,1222818733,45.93356102,91.15499489,82.48990027,0,0,0,,0,,0,0,26621466,414.5293582,24771567,13414715,10595307,14823860,0.008,,175565681,,44783134,40833380,1782052,-43001082,134732301,,,0.01322661,25.13009385,9447573,4320046,-14334307,8766430,-723893,-0.08787879,-0.26666667,0.09090909,48.44557962,0.005,-0.04998824,9.48371183,79.00666901,74.15895818,-0.02051452,-0.02502845,565361,0.20396779
3,ACAP,A CAPITAL HOLDING,,Finance,egypt,Finance,a-capital,delayed_streaming_900,stock,['common'],,,,,,,,,,,1.334,1000,1,false,0,EGP,0.83144369,6.63469225,-18.05896806,143.4306569,281.1428571,147.9553903,526.2910798,526.2910798,526.2910798,5.74304926,9.44481476,,EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333333,0.66666667,0,50.7739924,-0.049,-0.14243235,0.06529546,60.74545947,58.26487154,0.00043281,0.01113024,915197,0.5423074
4,ACGC,ARAB COTTON GINNING,,Process Industries,egypt,Process Industries,arab-cotton-ginning,delayed_streaming_900,stock,['common'],,,,,,,,,,,6.39,1000,1,false,0,EGP,0.78864353,4.58265139,-11.74033149,3.56564019,32.02479339,4.75409836,86.84210526,213.2352941,-32.26370049,5.64108801,6.0560992,1692173485,EGP,96.01226626,,,,1.08337035,,,6.70475735,2639326485,,,,,,3.91236,3.9123633,,,0,0,,,,,,,,,3708685000,2040334000,571878000,1419075000,791373000,219495000,2289610000,1.63013759,0.876145,0.50665641,0.72264027,,,,,,-0.04545455,0,-0.09090909,46.11137604,-0.18,-0.58755882,24.70814916,54.85980331,47.10016042,-0.22577412,-0.26651369,281449,0.71004557
5,ACRO,ACROW MISR,,Producer Manufacturing,egypt,Producer Manufacturing,acrow-misr,delayed_streaming_900,stock,['common'],,,,,,,,,,,44.5,1000,1,false,0,EGP,-1.13307714,-1.5268843,-19.41325753,-1.63572495,38.80224146,3.70542997,57.35501565,179.2419784,18584.84003,4.73060317,7.58032069,2441124852,EGP,56.78924711,,,,1.76535672,,,43.81252505,3516774547,,,,3.63,,8.18674,8.186739,,107.4285714,0,0,,,,,,,,,3363510932,2495849126,55918569,1948362735,1104204072,1048285503,1415148197,1.34975068,0.99722556,0.79565989,0.05064152,,,,,,-0.33333333,-0.66666667,0,40.17395822,-3.07,-6.48549979,-123.5515435,23.09536512,23.52248565,-1.94913923,-1.83263641,13606,1.79172483
6,ADCI,ARAB PHARMACEUTICALS,,Health Technology,egypt,Health Technology,arab-pharmaceuticals,delayed_streaming_900,stock,['common'],,,,,,,,,,,88.139999,1000,1,false,0,EGP,0.02269178,-5.09314509,1.22889514,26.58337326,46.58240069,26.58337326,47.02251465,209.2631544,916.7256892,6.98125542,5.18848171,561900009,EGP,56.21351159,,,,1.28372826,,,2.83739353,871182408,,,,,,4.80513,4.805125,,,1,0,,,,,,,,,1057188227,636877422,186382322,645231895,495664721,309282399,411956332,2.53834781,1.54903152,1.20319724,0.37602499,,,,,,0.04545455,0,0.09090909,49.22610713,-3.860001,2.52982459,20.82915223,44.19445556,59.51853426,1.24093576,1.77140211,138,0.05978426
7,ADIB,ABU DHABI ISLAMIC BANK- EGYPT,1,Finance,egypt,Finance,abu-dhabi-islamic-bank-egypt,delayed_streaming_900,stock,['common'],,30.03256761,29.9754774,21.42272376,40.46649132,3.34715736,40.3184052,25.21513815,,,41.23,1000,1,false,0,EGP,0.80684104,4.37974684,-19.14101121,5.69085392,53.27137546,3.10077004,115.3002611,307.5290988,1417.998425,4.96097557,5.92671411,20614999771,EGP,120.2457321,4.15583107,0.26724405,0.93797297,1.44016017,2.2760631,2.3366022,,19585486771,0.89832061,,,0,0,0,,0,,0,0,21802335000,74.14982054,,6547801000,4670654000,,9.921,,1.62255E+11,61509141000,,1.47921E+11,11262479000,-1049144000,14334013000,1.0357957,,0.78679464,,9057306000,-6762503000,36643606000,8822640000,-268269000,-0.29090909,-0.4,-0.18181818,41.45130246,-5.260002,-6.42847057,-70.38841343,22.31748889,15.20779395,-2.1402265,-1.67275387,599561,0.724366
8,ADPC,THE ARAB DAIRY PRODUCTS CO. ARAB DAIRY - PANDA,,Consumer Non-Durables,egypt,Consumer Non-Durables,the-arab-dairy-products-co-arab-dairy-panda,delayed_streaming_900,stock,['common'],,,,,,,,,,,1.955,1000,1,false,0,EGP,0.05117707,4.3780032,-14.25438596,4.71344403,29.98670213,17.06586826,84.94251055,-26.55964751,-15.54820232,3.14922838,6.79464561,977499962,EGP,190.0765632,,,,1.91435818,,,16.29757644,1729161436,,,,,0,0,,,,0,0,,,,,,,,,1569698148,1240208531,59978243,1056752766,809310079,749331836,512945382,1.4904142,1.00530756,1.58496891,0.07411034,,,,,,-0.17575758,-0.53333333,0.18181818,39.20680929,-0.155,-0.24479412,-63.37380427,35.73934837,29.91518344,-0.09129813,-0.09261844,828372,0.64989411
9,ADRI,ARAB DEVELOPMENT & REAL ESTATE INVESTMENT,,Finance,egypt,Finance,arab-development-and-real-estate-investment,delayed_streaming_900,stock,['common'],,,,,,,,,,,0.777,1000,1,false,0,EGP,1.56862745,1.04031209,-17.77777778,-25.85877863,20.27863777,-25.57471264,-8.28799501,118.2227512,-47.55214628,5.47636766,6.77893401,,EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.4,0,43.88905028,0.004,-0.09835,-6.42907058,57.10517043,43.74671397,-0.04026423,-0.04964417,108189,0.93050998
