,name,description,recommendation_mark,sector.tr,market,sector,logoid,update_mode,type,typespecs,gross_margin_ttm,operating_margin_ttm,pre_tax_margin_ttm,net_margin_ttm,free_cash_flow_margin_ttm,return_on_assets_fq,return_on_equity_fq,return_on_invested_capital_fq,research_and_dev_ratio_ttm,sell_gen_admin_exp_other_ratio_ttm,close,pricescale,minmov,fractional,minmove2,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.All,Volatility.W,Volatility.M,market_cap_basic,fundamental_currency_code,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,dps_common_stock_prim_issue_fy,dps_common_stock_prim_issue_fq,dividends_yield_current,dividends_yield,dividend_payout_ratio_ttm,dps_common_stock_prim_issue_yoy_growth_fy,continuous_dividend_payout,continuous_dividend_growth,total_revenue_ttm,total_revenue_yoy_growth_ttm,gross_profit_ttm,oper_income_ttm,net_income_ttm,ebitda_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,total_assets_fq,total_current_assets_fq,cash_n_short_term_invest_fq,total_liabilities_fq,total_debt_fq,net_debt_fq,total_equity_fq,current_ratio_fq,quick_ratio_fq,debt_to_equity_fq,cash_n_short_term_invest_to_total_debt_fq,cash_f_operating_activities_ttm,cash_f_investing_activities_ttm,cash_f_financing_activities_ttm,free_cash_flow_ttm,capital_expenditures_ttm,Recommend.All,Recommend.MA,Recommend.Other,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,MACD.macd,MACD.signal,volume,relative_volume_10d_calc
205,RUBX,RUBEX INTERNATIONAL FOR PLASTIC AND ACRYLIC MANUFACTURING,,Consumer Durables,egypt,Consumer Durables,rubex-international-for-plastic-and-acrylic-manufacturing,delayed_streaming_900,stock,['common'],20.77621541,5.654915896,1.02637915,0.190172795,3.055291238,0.164152226,0.288908655,0.287259769,,15.65817229,4.26,1000,1,false,0,EGP,-2.068965517,6.766917293,-28.28282828,-34.25925926,-19.92481203,-32.59493671,41.05960265,41.66144803,-53.79615758,10.86418989,10.82748918,252200164,EGP,49.00662328,575.6756757,,1.123281897,1.668762413,18.33314922,36.00447541,10.95378197,311004426,1.39474502,24.66429486,12.8736429,0,0,0,,0,,0,0,222982998,10.71322269,46327428,12609501,424053,24158230,0.0074,-95.34298301,252778382,167988895,22393231,105788821,81197493,58804262,146989561,1.685705561,0.776434265,0.552403126,0.275787222,13379620,6367189,-5005348,6812780,-6566839,-0.557575758,-0.933333333,-0.181818182,33.04811235,-0.97,-1.5775,-77.83870536,26.01060003,22.94889719,-0.626091181,-0.604627114,89718,0.357525701
161,MKIT,MISR KUWAIT INVESTMENT & TRADING CO.,,Distribution Services,egypt,Distribution Services,misr-kuwait-investment-and-trading-co,delayed_streaming_900,stock,['common'],11.07966951,1.27196072,1.22685329,1.22685329,,1.127665818,13.4143236,2.753522759,,9.807708789,1.253,1000,1,false,0,EGP,0,-9.985632184,-9.985632184,-9.985632184,-9.985632184,-9.985632184,-9.985632184,39.22222222,-49.88,16.64006385,10.6443583,27839999,EGP,0,130.5208333,,1.596824702,16.36197441,19.0329644,,890.6422149,34366567,2.189839709,172.1599389,33.67290515,0,0,0,,0,,0,0,15693645,-23.24040895,1738804,199617,192538,1020600,0.0096,,16323006,2013174,28137,14791422,6554705,6526568,1531584,0.232218186,0.178509713,4.279690177,0.004292642,1316663,463500,-1821857,,0,-0.333333333,-0.666666667,0,48.03897283,0,-1.47059E-05,-35.0877193,-4.73695E-15,-3.94746E-15,-0.001507932,-0.002019002,500,0.145759846
2,ACAMD,ARAB CO. FOR ASSET MANAGEMENT AND DEVELOPMENT,,Finance,egypt,Finance,arab-co-for-asset-management-and-development,delayed_streaming_900,stock,['common'],93.05110019,50.39059457,48.329968,39.79986301,32.92992955,6.040741273,7.764875535,7.687987926,,,0.715,1000,1,false,0,EGP,-4.026845638,-0.832177531,-24.89495798,-23.93617021,-23.2832618,-28.06841046,14.76725522,38.03088803,550,5.197107317,7.478834515,986439119,EGP,20.22471627,89.375,,37.0542763,7.026336478,100.2074051,107.993422,795.486114,943438037,35.43899637,70.3285672,63.64321014,0,0,0,,0,,0,0,26621466,414.5293582,24771567,13414715,10595307,14823860,0.008,,175565681,,44783134,40833380,1782052,-43001082,134732301,,,0.013226613,25.13009385,9447573,4320046,-14334307,8766430,-723893,-0.512121212,-0.933333333,-0.090909091,30.88516453,-0.252,-0.16695,-110.9607578,14.7469459,14.83238802,-0.06546886,-0.04751093,6622226,0.614970077
125,ICID,INTERNATIONAL CO FOR INVESTMENT & DEVELOPMENT,,Finance,egypt,Finance,international-co-for-investment-and-development,delayed_streaming_900,stock,['common'],,16.54937232,38.27725083,32.32971883,80.44437729,3.677572404,4.268765183,4.268765183,,,2.66,1000,1,false,0,EGP,-2.205882353,3.100775194,-7.958477509,-35.4368932,-30.24318858,-33.99503722,26.3857995,476.6562608,-21.71630814,4.233996853,5.054395018,272000003,EGP,-26.13157704,76.87861272,,25.453139,3.215239753,29.27497744,30.94271288,2098.475275,276014699,28.68256154,173.3151021,171.2196886,0,0,0,,0,,0,0,9623084,26.10073792,,1592560,3111116,1612050,0.0346,-22.24719101,86155825,,146710,7494215,0,-146710,78661610,,,0,,8182232,-7941000,-507328,7741230,-441000,-0.512121212,-0.933333333,-0.090909091,39.02391152,-0.17,-0.193029412,-71.28777924,36.30952381,39.48412698,-0.123540889,-0.138909945,150812,0.332322416
127,ICMI,INTERNATIONAL COMPANY FOR MEDICAL INDUSTRIES -ICMI,,Distribution Services,egypt,Distribution Services,international-company-for-medical-industries-icmi,delayed_streaming_900,stock,['common'],20.1841196,-4.323621155,4.996249274,4.036971582,31.65950976,1.72781175,2.432506297,2.311850513,,24.50774075,1.652,1000,1,false,0,EGP,-4.00929692,-7.915273133,2.101359703,18.42293907,31.738437,9.40397351,57.93499044,251.4005097,-36.22020775,5.938883292,9.429166378,129826599,EGP,71.5105181,65.29644269,,2.744554588,1.605301771,6.04551596,8.321408844,98.81493915,136843107,3.783994118,,74.93079134,0,0,0,,0,,0,0,36163668,1551.858906,7299318,-1563580,1459917,1826260,0.0253,8333.333333,104001304,44074363,964164,42935996,6264589,5300425,61065308,1.210203114,0.763661146,0.105554689,0.153906984,15759417,-5064527,-19498167,11449240,-4310180,-0.066666667,-0.133333333,0,47.26963794,-0.318,0.139455882,-52.42027988,16.02106385,26.78648292,0.0573281,0.088177064,136438,1.49168323
123,IBCT,INTERNATIONAL BUSINESS CORPORATION FOR TRADING AND AGENCIES,,Distribution Services,egypt,Distribution Services,international-business-for-trading-and-agencies,delayed_streaming_900,stock,['common'],5.893378636,0.257995833,2.316762615,1.237217153,-7.150820807,1.059266247,1.421755859,1.421755859,,5.635382803,1.54,1000,1,false,0,EGP,11.11111111,0,0,0,0,0,18.46153846,142.9022082,-38.93735131,11.11111111,11.58730159,37483599,EGP,18.46153904,63.63636364,,0.707335517,0.895890538,,,27.86265358,48526366,1.017464888,394.3629907,34.53637231,0,0,0,,0,,0,0,47693406,22.65729405,2810753,123047,590071,1405080,0.0242,-67.38544474,56902870,41611279,1345299,15063297,12388066,11042767,41839573,2.948620398,1.503427409,0.296084905,0.10859637,-3410470,17558,1834471,-3410470,0,0.512121212,0.933333333,0.090909091,86.13436846,0.154,0.013135294,666.6666667,33.33333333,11.11111111,0.01125499,0.001101879,0,0
140,KRDI,AL KHAIR RIVER FOR DEVELOPMENT AGRICULTURAL INVESTMENT&ENVIR,,Finance,egypt,Finance,al-khair-river-for-development-agricultural-investmentandenvir,delayed_streaming_900,stock,['common'],38.53263897,33.62967601,21.43896717,18.66140017,-94.16843716,3.769741083,12.22730067,4.718525021,,4.902962956,0.916,1000,1,false,0,EGP,-0.434782609,-0.972972973,-30.34220532,-46.58892128,15.07537688,-31.94650817,248.2889734,816,816,3.694342694,6.846287328,1840000000,EGP,,48.72340426,,9.122049804,5.326200721,21.45487071,,309.8041689,2560442678,12.69374219,37.7456571,30.30090314,0,0,0,,0,,0,0,201709050,,77723820,67834100,37641733,84500540,0.0188,,1193806072,106953227,13718723,742662742,626976774,613258051,451143330,0.542913676,0.347122353,1.82282573,0.021880752,85388536,-360205256,275718953,-189946260,-275592801,-0.445454545,-0.8,-0.090909091,29.87005344,-0.254,-0.251841176,-89.45711976,9.719938102,9.696015525,-0.105541945,-0.092087417,2490346,0.517609486
226,TMGH,T M G HOLDING,1,Finance,egypt,Finance,t-m-g,delayed_streaming_900,stock,['common'],29.20042282,23.30771905,17.85583245,11.54940326,19.07860328,1.619476528,7.630880462,4.500465445,,4.687751704,62.35,1000,1,false,0,EGP,7.462943812,22.20697766,-1.811023622,35.54347826,175.8849558,158.1780538,563.2978723,490.9952607,539.0873402,7.820585365,8.079006496,1.19728E+11,EGP,527.6595999,45.43467172,,4.913019528,3.365870986,15.23635815,27.67328058,22.33744226,1.54424E+11,6.336781726,27.1874812,25.49012736,0.19384,0,0.334092,0.3006808,14.12519128,11.11111111,0,0,24369511082,62.38413255,7116000275,5679977178,2814533108,6058199330,1.3723,54.27768409,1.97724E+11,1.5965E+11,13713091536,1.58401E+11,47313159100,33600067564,39322129087,1.276184736,0.543104905,1.237728189,0.289836735,8444479138,-5735154411,1433996804,4649362340,-3795116802,0.490909091,0.8,0.181818182,51.96343866,-1.81,-6.355647124,2.874618327,45.87829347,33.1392701,-1.58424615,-1.398985531,20006727,3.589074383
168,MPCO,MANSOURAH POULTRY,,Process Industries,egypt,Process Industries,mansourah-poultry,delayed_streaming_900,stock,['common'],9.882627174,5.206018349,7.920298113,4.546110791,-9.122896737,9.770795108,14.88222098,14.88222098,,4.676608825,1.08,1000,1,false,0,EGP,-3.225806452,0.840336134,0.185528757,-9.243697479,20.13348165,17.51904244,27.20848057,505.6076578,1785.088496,3.238650578,7.748827964,543739841,EGP,30.38869516,37.63066202,,1.716225097,5.049560501,,,40.26891469,571667963,1.804375531,34.65941971,29.80445695,0,0,0,,0,,0,0,316823163,81.07896794,31310452,16493872,14403132,19180620,0.0287,,181400333,135528262,13067148,77191660,40995270,27928122,104208673,1.769606015,0.219685492,0.393395951,0.318747699,-14880099,2952512,17509584,-28903450,-14023348,-0.2,-0.4,0,44.76870599,-0.14,-0.036111765,-58.12892585,19.18238994,18.16911251,-0.005222014,0.008620646,2511521,0.269528895
85,EGTS,EGYPTIAN FOR TOURISM RESORTS,,Utilities,egypt,Utilities,egyptian-for-tourism-resorts,delayed_streaming_900,stock,['common'],-1.986611761,13.96393713,106.2614185,100.2054718,33.63082652,7.364683779,33.02742654,33.02742654,,-18.95956107,5.83,1000,1,false,0,EGP,0,14.31372549,21.20582121,31.90045249,40.82125604,39.14081146,125.9689922,201.9161056,926.4068966,6.651459181,7.102216692,6121499920,EGP,120.1550386,30.42797495,,30.48077769,11.72212727,46.44280192,90.63344807,28.87150314,5821128759,28.98513953,207.5713463,174.551614,0,0,0,,0,,0,0,200831490,67.7363808,-3989742,28043983,201244142,33349040,0.1916,,3109390691,2774135723,212025677,2675519936,0,-212025677,433870755,2.528015696,1.727741896,0,,131807293,-64266000,0,67541290,-64266000,0.354545455,0.8,-0.090909091,65.96024733,0.75,0.723735294,169.0223793,84.6260069,80.06812476,0.267677985,0.19542066,20878372,3.197930839
