name,description,sector,close,Perf.5Y,Volatility.W,Volatility.M,market_cap_basic,debt_to_equity_fq,RSI
RUBX,RUBEX INTERNATIONAL FOR PLASTIC AND ACRYLIC MANUFACTURING,Consumer Durables,4.26,41.66144803,10.86418989,10.82748918,252200164.0,0.552403126,33.04811235
MKIT,MISR KUWAIT INVESTMENT & TRADING CO.,Distribution Services,1.253,39.22222222,16.64006385,10.6443583,27839999.0,4.279690177,48.03897283
ACAMD,ARAB CO. FOR ASSET MANAGEMENT AND DEVELOPMENT,Finance,0.715,38.03088803,5.197107317,7.478834515,986439119.0,0.013226613,30.88516453
ICID,INTERNATIONAL CO FOR INVESTMENT & DEVELOPMENT,Finance,2.66,476.6562608,4.233996853,5.054395018,272000003.0,0.0,39.02391152
ICMI,INTERNATIONAL COMPANY FOR MEDICAL INDUSTRIES -ICMI,Distribution Services,1.652,251.4005097,5.938883292,9.429166378,129826599.0,0.105554689,47.26963794
IBCT,INTERNATIONAL BUSINESS CORPORATION FOR TRADING AND AGENCIES,Distribution Services,1.54,142.9022082,11.11111111,11.58730159,37483599.0,0.296084905,86.13436846
KRDI,AL KHAIR RIVER FOR DEVELOPMENT AGRICULTURAL INVESTMENT&ENVIR,Finance,0.916,816.0,3.694342694,6.846287328,1840000000.0,1.82282573,29.87005344
TMGH,T M G HOLDING,Finance,62.35,490.9952607,7.820585365,8.079006496,119728000000.0,1.237728189,51.96343866
MPCO,MANSOURAH POULTRY,Process Industries,1.08,505.6076578,3.238650578,7.748827964,543739841.0,0.393395951,44.76870599
EGTS,EGYPTIAN FOR TOURISM RESORTS,Utilities,5.83,201.9161056,6.651459181,7.102216692,6121499920.0,0.0,65.96024733
CLHO,CLEOPATRA HOSPITAL COMPANY,Health Services,6.15,-6.818181818,3.89053367,5.779923188,8903874477.0,0.327221685,42.28151818
BTFH,BELTONE HOLDING,Finance,2.84,52.16611709,3.705210324,5.086320868,15789452181.0,0.312748206,35.3858085
NINH,NOZHA INTERNATIONAL HOSPITAL,Health Services,8.33,262.8371162,3.633374435,3.827364043,1425585877.0,0.000692005,53.90066673
RAYA,RAYA HOLDING FOR FINANCIAL INVESTMENTS,Technology Services,3.46,549.155698,4.540745099,6.626384993,7546863631.0,6.780015775,34.15408897
ISPH,IBNSINA PHARMA,Distribution Services,2.44,-68.16635179,3.869061167,6.676503687,2755200043.0,3.406000114,41.18388028
FIRE,FIRST INVESTMENT COMPANY AND REAL ESTATE DEVELOPMENT,Finance,2.35,182.4519231,11.9858156,9.567206568,35887499.0,0.0,41.67140734
JUFO,JUHAYNA FOOD INDUSTRIES,Consumer Non-Durables,15.01,20.08,4.180334798,6.445218497,14365841894.0,0.31921655,42.70911553
TALM,TAALEEM MANAGEMENT SERVICES,Consumer Services,7.5,650.0,10.11309931,6.074535635,5622924861.0,0.935334079,62.36422185
EGAS,NATURAL GAS & MINING PROJECT (EGYPT GAS),Utilities,35.92,10.65133138,3.598160547,4.474788733,3521909543.0,0.0,48.92332075
EFID,EDITA FOOD INDUSTRIES S.A.E,Consumer Non-Durables,28.1,40.5,3.573169126,6.752514865,20006388944.0,0.635775484,38.16991177
OCDI,SIX OF OCTOBER DEVELOPMENT & INVESTMENT (SODIC),Finance,45.5,203.9412158,6.333123681,9.101898364,16036006557.0,0.440385254,49.73762457
